,PatentNumber,author
27851,WO2013127288-A1,LIU K
27852,WO2013127288-A1,ZHENG B
27853,WO2013127288-A1,WANG K
27854,WO2013127288-A1,JIA Q
27855,WO2013127288-A1,ZHANG G
27856,WO2013127288-A1,JIANG X
27857,US2013226933-A1,ALBERT D K
27858,US2013224314-A1,CHEN Y
27859,US2013224314-A1,DE NONI R
27860,US2013224314-A1,REINER G
27861,US2013224314-A1,GALFETTI P
27862,WO2013123503-A1,HIGH K A
27863,WO2013123503-A1,MINGOZZI F
27864,WO2013123503-A1,SUN J
27865,WO2013123503-A1,JOHNSON P
27866,WO2013123503-A1,HIGH K
27867,WO2013123503-A1,MINGOZZI F S
27868,WO2013123503-A1,SUN YU
27869,US2013209536-A1,KROGMAN N
27870,US2013209536-A1,ISAAC W
27871,US2013209536-A1,WANG S
27872,US2013209536-A1,PETROV K
27873,RU2012102866-A,MASLOV D V
27874,RU2012102866-A,SARATOVTSEV S V
27875,WO2013115926-A2,BUECHLER Y J
27876,WO2013115926-A2,WU C
27877,WO2013115926-A2,ADAMS R A
27878,WO2013115926-A2,WATKINS J D
27879,WO2013115926-A2,MENDLEIN J D
27880,WO2013115926-A2,JI Y
27881,WO2013115926-A2,WU Q
27882,CN103230393-A,DONG D
27883,CN103230393-A,GUO Y
27884,CN103230393-A,LIN J
27885,CN103230393-A,LIU D
27886,CN103230393-A,LIU W
27887,CN103230393-A,SUN X
27888,CN103230393-A,SUN B
27889,CN103230393-A,SUN C
27890,CN103230393-A,YANG C
27891,CN103230393-A,XIAO Y
27892,CN103230393-A,YANG M
27893,CN103230393-A,ZHOU H
27894,CN103230393-A,LU Z
27895,CN103230393-A,SUN Y
27896,CN103230393-A,ZHU H
27897,CN103205509-A,GAO B
27898,CN103205509-A,LIU J
27899,CN103205509-A,WANG J
27900,CN103205509-A,WANG W
27901,CN103205509-A,YANG Y
27902,CN103205509-A,ZHANG J
27903,CN103184228-A,CHEN W
27904,CN103184228-A,LI C
27905,CN103184228-A,LI Y
27906,CN103184228-A,LOU Z
27907,CN103184228-A,RAO Z
27908,CN103184228-A,SUN Y
27909,CN103184228-A,WANG J
27910,CN103184228-A,YANG C
27911,CN103184228-A,WANG Q
27912,CN103184228-A,LIU S
27913,KR2013071032-A,LEE W S
27914,KR2013071032-A,RYU Y B
27915,KR2013071032-A,KIM Y M
27916,KR2013071032-A,PARK S J
27917,KR2013071032-A,KWON H J
27918,KR2013071032-A,RHO M C
27919,KR2013071032-A,OH H M
27920,KR2013071032-A,JUNG H J
27921,WO2013096732-A2,LEONARD W J
27922,WO2013096732-A2,SPOLSKI R
27923,CN103172712-A,YANG C
27924,CN103172712-A,WANG Q
27925,CN103172712-A,LI Y
27926,CN103172712-A,CHEN W
27927,CN103172712-A,DONG H
27928,CN103172712-A,LI H
27929,CN103172712-A,LIU X
27930,CN103172712-A,RAO Z
27931,CN103172712-A,WANG Z
27932,CN103172711-A,YANG C
27933,CN103172711-A,WANG Q
27934,CN103172711-A,ZHANG Y
27935,CN103172711-A,CHEN S
27936,CN103172711-A,CHEN W
27937,CN103172711-A,LI Y
27938,CN103172711-A,LIU X
27939,CN103172711-A,WANG J
27940,CN103172711-A,RAO Z
27941,WO2013090811-A1,EVERETT A D
27942,WO2013090811-A1,FU Z
27943,CN103156902-A,CHEN W
27944,CN103156902-A,FENG J
27945,CN103156902-A,LOU Z
27946,CN103156902-A,RAO Z
27947,CN103156902-A,SUN X
27948,CN103156902-A,YANG C
27949,CN103156902-A,WANG B
27950,CN103156902-A,ZHOU T
27951,CN103156902-A,LI J
27952,CN103156902-A,NIU G
27953,CN103159665-A,CHEN W
27954,CN103159665-A,LIU H
27955,CN103159665-A,LIU W
27956,CN103159665-A,LOU Z
27957,CN103159665-A,RAO Z
27958,CN103159665-A,SUN B
27959,CN103159665-A,YANG C
27960,CN103159665-A,SUN Y
27961,CN103159665-A,ZHU H
27962,CN103156828-A,CHEN W
27963,CN103156828-A,FENG J
27964,CN103156828-A,LOU Z
27965,CN103156828-A,RAO Z
27966,CN103156828-A,YANG C
27967,CN103156828-A,WANG B
27968,CN103156828-A,LI J
27969,CN103156828-A,NIU G
27970,CN103156828-A,SHI E
27971,CN103156890-A,CHEN W
27972,CN103156890-A,FENG J
27973,CN103156890-A,LIU Y
27974,CN103156890-A,RAO Z
27975,CN103156890-A,YANG C
27976,CN103156890-A,WANG B
27977,CN103156890-A,YU F
27978,CN103156890-A,LI J
27979,CN103156890-A,NIU G
27980,CN103156890-A,ZHANG C
27981,CN103156921-A,CHEN W
27982,CN103156921-A,FENG J
27983,CN103156921-A,LOU Z
27984,CN103156921-A,RAO Z
27985,CN103156921-A,YANG C
27986,CN103156921-A,WANG B
27987,CN103156921-A,WANG P
27988,CN103156921-A,LI J
27989,CN103156921-A,LI Y
27990,CN103156921-A,NIU G
27991,CN103156830-A,CHEN W
27992,CN103156830-A,FENG J
27993,CN103156830-A,LIU Y
27994,CN103156830-A,LOU Z
27995,CN103156830-A,RAO Z
27996,CN103156830-A,YANG C
27997,CN103156830-A,WANG B
27998,CN103156830-A,LI J
27999,CN103156830-A,NIU G
28000,CN103159666-A,LIU W
28001,CN103159666-A,LOU Z
28002,CN103159666-A,RAO Z
28003,CN103159666-A,SUN B
28004,CN103159666-A,YANG C
28005,CN103159666-A,ZHOU T
28006,CN103159666-A,NIU G
28007,CN103157108-A,NING Y
28008,FR2983706-A1,GUETTA P R L
28009,FR2983705-A1,GUETTA P R L
28010,DE102011121069-A1,BREUNIG K
28011,DE102011121069-A1,BEHRENS S
28012,DE102011121069-A1,BERENSEU S E
28013,DE102011121069-A1,BEHRENS S E
28014,CN103145608-A,ZHAO X
28015,CN103145608-A,YANG C
28016,CN103145608-A,YIN Z
28017,CN103145608-A,CHEN C
28018,CN103145608-A,LOU Z
28019,CN103145608-A,WANG P
28020,CN103145608-A,ZHAO Q
28021,CN103145608-A,ZHOU H
28022,CN103145608-A,RAO Z
28023,CN103145608-A,SHANG L
28024,CN103145608-A,WANG Y
28025,CN103145608-A,XU M
28026,CN103145608-A,CUI C
28027,CN103130710-A,CHEN C
28028,CN103130710-A,CUI C
28029,CN103130710-A,LOU Z
28030,CN103130710-A,RAO Z
28031,CN103130710-A,SHANG L
28032,CN103130710-A,WANG P
28033,CN103130710-A,WANG Y
28034,CN103130710-A,XU M
28035,CN103130710-A,YANG C
28036,CN103130710-A,YIN Z
28037,CN103130710-A,ZHAO Q
28038,CN103130710-A,ZHAO X
28039,CN103130710-A,ZHOU H
28040,CN103120699-A,CHEN W
28041,CN103120699-A,FENG J
28042,CN103120699-A,GUO Y
28043,CN103120699-A,LOU Z
28044,CN103120699-A,RAO Z
28045,CN103120699-A,WANG B
28046,CN103120699-A,LI J
28047,CN103120699-A,NIU G
28048,US2013129805-A1,CHO I H
28049,US2013129805-A1,LEE D G
28050,US2013129805-A1,YANG Y Y
28051,US2013131100-A1,YU C
28052,EP2594280-A1,ANDREAKOS E
28053,EP2594280-A1,APOSTOLOU E
28054,EP2594280-A1,GIAGLIS S
28055,EP2594280-A1,PROTOPAPADAKIS E
28056,EP2594280-A1,RITVOS O
28057,EP2594280-A1,SIDERAS P
28058,EP2594280-A1,SOUNTOULIDIS A
28059,EP2594280-A1,STAVROPOULOS A
28060,EP2594280-A1,XIRAKIA C
28061,WO2013071288-A2,MULLIN J M
28062,WO2013071288-A2,RAINES J
28063,US2013115717-A1,GUO X
28064,US2013115717-A1,LIU C
28065,US2013115717-A1,DENG A
28066,US2013115717-A1,CHANG H
28067,US2013115717-A1,WANG H
28068,US2013106650-A1,ROSE D W
28069,WO2013058484-A2,OH S R
28070,WO2013058484-A2,KIM J W
28071,WO2013058484-A2,LEE H K
28072,WO2013058484-A2,KHIEV P
28073,WO2013058484-A2,KIM D Y
28074,WO2013058484-A2,KIM J H
28075,WO2013058484-A2,SONG J S
28076,WO2013058484-A2,AHN K S
28077,WO2013058484-A2,RYANG O S
28078,WO2013058484-A2,HWA K J
28079,WO2013058484-A2,GYU L H
28080,WO2013058484-A2,YEONG K D
28081,WO2013058484-A2,HUI K J
28082,WO2013058484-A2,SEONG S J
28083,WO2013058484-A2,SEOP A G
28084,WO2013058484-A2,KIM J
28085,WO2013058484-A2,AHN K
28086,WO2013058484-A2,LEE J
28087,WO2013058484-A2,KIM D
28088,WO2013058484-A2,OH S
28089,WO2013058484-A2,SONG J
28090,WO2013049352-A2,BEDARD K
28091,WO2013049352-A2,FOWLER K W
28092,WO2013049352-A2,IADONATO S P
28093,WO2013049352-A2,IMANAKA M W
28094,WO2013049352-A2,BEDARD K M
28095,WO2013049352-A2,IADONATO S
28096,WO2013049352-A2,IMANAKA M
28097,WO2013049352-A2,FOWLER K
28098,WO2013049352-A2,KRISTIN BEDARD M W I
28099,WO2013049407-A2,BEDARD K
28100,WO2013049407-A2,FOWLER K W
28101,WO2013049407-A2,IADONATO S P
28102,WO2013049407-A2,IMANAKA M W
28103,WO2013049407-A2,BEDARD K M
28104,WO2013049407-A2,IADONATO S
28105,WO2013049407-A2,IMANAKA M
28106,WO2013049407-A2,FOWLER K
28107,WO2013049407-A2,KRISTIN BEDARD M W I
28108,WO2013049407-A2,WFOWLER K
28109,WO2013049407-A2,KIN T
28110,US2013085409-A1,HELLER A C
28111,KR2013031551-A,KEUM Y S
28112,KR2013031551-A,YONG J J
28113,KR2013031551-A,MI S Y
28114,KR2013031551-A,CHIN Y W
28115,CN102967708-A,CHEN L
28116,CN102967708-A,HE Z
28117,CN102967708-A,XIANG D
28118,WO2013033019-A1,HAGEDORN C
28119,EP2565186-A1,COLLAND F
28120,EP2565186-A1,GOURDEL M
28121,EP2565186-A1,FREDERIC C
28122,EP2565186-A1,MARI E G
28123,EP2565186-A1,GOURDEL M E
28124,KR1236502-B1,KIM O H
28125,WO2013027217-A1,BENHAR I
28126,WO2013027217-A1,SHAPIRA A
28127,WO2013027217-A1,GAL-TANAMY M
28128,WO2013027217-A1,ZEMEL R
28129,WO2013027217-A1,TUR-KASPA R
28130,WO2013025861-A1,KAYYALI U S
28131,US2013019864-A1,WONDKA A
28132,US2013019864-A1,WONDKA A D
28133,WO2013003386-A1,JOHNSON M R
28134,WO2013003386-A1,JOHNSON M
28135,WO2013003386-A1,JONHSON M R
28136,WO2013003386-A1,JOHNSON MICH
28137,KR2012139512-A,YONG J J
28138,KR2012139512-A,SEONG J C
28139,KR2012139512-A,HYE M W
28140,CN102838523-A,SHANG L
28141,CN102838523-A,LOU Z
28142,CN102838523-A,WANG Y
28143,CN102838523-A,ZHAO Q
28144,CN102838523-A,XU M
28145,CN102838523-A,YANG C
28146,CN102838523-A,ZHAO X
28147,CN102838523-A,YIN Z
28148,CN102838523-A,RAO Z
28149,JP2012239871-A,KUWAMOTO I
28150,WO2012167081-A1,WIGHTMAN P D
28151,WO2012159263-A1,DAI L
28152,WO2012161755-A2,WALLER E K
28153,WO2012161755-A2,HOSSAIN M S
28154,WO2012161755-A2,LI J
28155,WO2012161755-A2,WALLER E
28156,WO2012161755-A2,HOSSAIN M
28157,CN102793407-A,WU C
28158,WO2012158613-A1,SWANSON K
28159,WO2012158613-A1,CARFI A
28160,WO2012158613-A1,SVANSON K
28161,CN102786461-A,DU G
28162,CN102786461-A,LU Y
28163,CN102786461-A,YANG T
28164,CN102786461-A,ZHANG L
28165,CN102786462-A,DU G
28166,CN102786462-A,LU Y
28167,CN102786462-A,YANG S
28168,CN102786462-A,YANG T
28169,CN102772789-A,FENG M
28170,CN102772789-A,HUANG H
28171,CN102772789-A,LI J
28172,CN102772789-A,SHI X
28173,CN102772789-A,YE L
28174,CN102772789-A,ZHOU P
28175,CN102772789-A,ZHOU W
28176,CN102772789-A,ZHU H
28177,CN102772789-A,SHI Z
28178,EP2520292-A1,REBOLL M
28179,EP2520292-A1,NOURBAKHSH M
28180,EP2520292-A1,NIGGEMANN J
28181,EP2520292-A1,GERTH K
28182,EP2520292-A1,STEINMETZ H
28183,EP2520292-A1,FRANK R
28184,CN102757500-A,DONG S
28185,CN102757500-A,LIU K
28186,CN102757500-A,MA J
28187,CN102757500-A,QI C
28188,CN102757500-A,QIE J
28189,CN102757500-A,ZHENG J
28190,CN102757500-A,ZHOU W
28191,WO2012144754-A2,PARK H
28192,WO2012144754-A2,KIM K
28193,WO2012144754-A2,SONG H
28194,WO2012144754-A2,KIM S Y
28195,WO2012144754-A2,KYUNG M K
28196,WO2012144754-A2,HYUN O S
28197,WO2012144754-A2,SUNG Y K
28198,WO2012139195-A1,DUROCHER Y
28199,CN102732638-A,CAO K
28200,CN102732638-A,GUAN L
28201,CN102732638-A,CHANG Y
28202,CN102732638-A,FENG F
28203,CN102732638-A,HE X
28204,CN102732638-A,LI M
28205,CN102732638-A,WU J
28206,CN102732638-A,XU L
28207,CN102732638-A,ZHANG D
28208,CN102732638-A,WANG Z
28209,CN102732638-A,ZHENG Y
28210,CN102732638-A,XU S
28211,US2012246809-A1,ELAM T E
28212,US2012246809-A1,ELAM R J
28213,WO2012129295-A1,TANG D C
28214,WO2012129295-A1,TANG D
28215,WO2012129295-A1,TANG D C C
28216,CN102690336-A,HAN Z
28217,CN102690336-A,SHI Z
28218,CN102690336-A,ZHOU P
28219,WO2012122858-A1,ZHOU P
28220,WO2012122858-A1,SONG Y
28221,WO2012122858-A1,ZHOU F
28222,WO2012122858-A1,YANG L
28223,WO2012122858-A1,CAI C
28224,WO2012122858-A1,DING H
28225,WO2012122858-A1,TSAI C
28226,WO2012122858-A1,ZHOU B
28227,US2012231096-A1,GOLIO D I
28228,US2012231096-A1,GOLIO D
28229,WO2012118092-A1,INOUE K
28230,WO2012118092-A1,CHONO H
28231,WO2012118092-A1,YAMAKAWA S
28232,WO2012118092-A1,KAWANO Y
28233,WO2012118092-A1,MINENO J
28234,WO2012116715-A1,KALLEN K
28235,WO2012116715-A1,KRAMPS T
28236,WO2012116715-A1,SCHNEE M
28237,WO2012116715-A1,PETSCH B
28238,WO2012116715-A1,STITZ L
28239,WO2012116811-A1,KALLEN K
28240,WO2012116811-A1,KRAMPS T
28241,WO2012116811-A1,SCHNEE M
28242,WO2012116811-A1,PETSCH B
28243,WO2012116811-A1,STITZ L
28244,US2012218106-A1,ZAIMA H
28245,US2012218106-A1,AHLGREN B
28246,KR2012095717-A,OH J W
28247,KR2012095717-A,AHN D G
28248,KR2012095717-A,WON O J
28249,KR2012095717-A,GYUN A D
28250,CN102628191-A,WANG S
28251,WO2012100370-A1,CHEN W
28252,WO2012100370-A1,GUAN Y
28253,WO2012100370-A1,JIANG Y
28254,WO2012100370-A1,LIU L
28255,WO2012100370-A1,PIAO J
28256,WO2012100370-A1,YANG Y
28257,WO2012100370-A1,PU J
28258,CN102608090-A,CHEN L
28259,CN102608090-A,HE Z
28260,KR2012081768-A,KIM D
28261,KR2012081768-A,RYU H J
28262,KR2012081768-A,HANH T
28263,KR2012081768-A,HWANG S W
28264,WO2012092971-A1,DESMET J
28265,WO2012092971-A1,LASTERS I
28266,WO2012092971-A1,MEERSSEMAN G
28267,WO2012092971-A1,DEROO S
28268,WO2012092569-A2,ILYNSKII P O
28269,WO2012092569-A2,LIPFORD G B
28270,WO2012092569-A2,ILYINSKII P O
28271,WO2012092569-A2,ARNE L
28272,WO2012092569-A2,BEHZADI Y
28273,WO2012092569-A2,DUCK R
28274,WO2012092569-A2,HAFEZI H
28275,WO2012092569-A2,HUTCHISON J
28276,WO2012092569-A2,KREIDLER M
28277,WO2012092569-A2,LEICHNER R
28278,WO2012092569-A2,OMIDVAR F
28279,WO2012092569-A2,ROBERTSON T
28280,WO2012092569-A2,ROWBERRY K
28281,WO2012092569-A2,SAVAGE G
28282,WO2012092569-A2,THOMPSON A
28283,WO2012092569-A2,ZDEBLICK M
28284,WO2012092367-A1,MILLER B L
28285,WO2012092367-A1,OFORI L O
28286,WO2012092367-A1,GROMOVA A V
28287,CN102529532-A,NOT P
28288,KR2012071463-A,CHOI S H
28289,KR2012071463-A,CHUNG D J
28290,FR2969466-A1,BRILLAT V
28291,FR2969465-A1,BRILLAT V
28292,WO2012085582-A1,ALCARAZ L
28293,WO2012085582-A1,BAILEY A
28294,WO2012085582-A1,KINDON N
28295,WO2012083445-A1,DAOUST M
28296,WO2012083445-A1,COUTURE M
28297,WO2012083445-A1,LAVOIE P
28298,WO2012083445-A1,VEZINA L
28299,WO2012083445-A1,D'AOUST M A
28300,WO2012083445-A1,D AOUST MARC-ANDRE
28301,WO2012083445-A1,LOUIS PHILIPPE V
28302,WO2012083445-A1,MAREUKEU A D
28303,WO2012083445-A1,PIEREU O R
28304,WO2012083445-A1,RUISEU P B
28305,WO2012083445-A1,MARC-ANDRE D
28306,WO2012083445-A1,DAOUST M A
28307,WO2012083445-A1,LAVOIE P O
28308,WO2012083445-A1,VEZINA L P
28309,WO2012083445-A1,DAU M A
28310,WO2012083445-A1,D'AOUST M
28311,WO2012083445-A1,AOUST M A
28312,WO2012083445-A1,JARNIKOV D
28313,WO2012083445-A1,WAJS A A
28314,WO2012083445-A1,MANON C
28315,WO2012083445-A1,PIERRE-OLIVIER L
28316,WO2012083445-A1,LOUIS-PHILIPPE V
28317,EP2469299-A1,LAFAIX J
28318,EP2469299-A1,SFEZ T
28319,EP2469299-A1,LAFOLIE S
28320,EP2469299-A1,BOSSER L
28321,US2012156307-A1,CHEN Y
28322,US2012156307-A1,DE NONI R
28323,US2012156307-A1,REINER G
28324,US2012156307-A1,GALFETTI P
28325,WO2012079115-A1,STEWART C
28326,WO2012079115-A1,BEAN A
28327,WO2012079115-A1,LOWENTHAL J W
28328,CN102489085-A,TAN G
28329,US2012141526-A1,BAKER J R
28330,US2012141526-A1,BIELINSKA A
28331,US2012141526-A1,MYC A
28332,CN202242634-U,NOT P
28333,JP2012095858-A,YAMAGUCHI H
28334,JP2012095858-A,ISAWA K
28335,JP2012095858-A,MIURA Y
28336,JP2012095858-A,SUZUKI R
28337,JP2012095858-A,KAWAHATA I
28338,JP2012095858-A,YOKOCHI E
28339,JP2012095858-A,GOTO O
28340,JP2012095858-A,IZAWA K
28341,JP2012095858-A,KAWABATA I
28342,WO2012064654-A1,WERNER M H
28343,CN102453712-A,YANG N
28344,CN102453712-A,MA P
28345,US2012114608-A1,EBEL J P
28346,US2012114608-A1,GILDEA L A
28347,US2012114608-A1,LAWSON D A
28348,US2012114608-A1,CLYMER J W
28349,WO2012059570-A1,LOPEZ QUINTELA M A
28350,WO2012059570-A1,DOMINGUEZ PUENTE F
28351,WO2012055205-A1,FAN K
28352,WO2012055205-A1,LUO H
28353,WO2012055205-A1,ZHANG J
28354,WO2012055205-A1,LI X
28355,WO2012055205-A1,ZHANG Y
28356,WO2012055205-A1,ZHANG I
28357,WO2012051570-A1,BANTIA S
28358,WO2012051570-A1,KOTIAN P L
28359,WO2012051570-A1,BABU Y S
28360,WO2012051570-A1,KOTIAN P
28361,WO2012051570-A1,BABU Y
28362,WO2012051570-A1,BABU YA S
28363,WO2012051570-A1,BANTIA SH
28364,WO2012051570-A1,COTHIAN P L
28365,CN102415380-A,SU Y
28366,CN102415380-A,WEI Q
28367,CN102415380-A,ZHANG W
28368,CN102406955-A,WU Y
28369,CN202179726-U,LI S
28370,CN202179726-U,NAN Y
28371,WO2012040164-A2,GEWIRTZ A T
28372,WO2012040164-A2,ZHANG B
28373,US2012065103-A1,GALANDE A K
28374,US2012065103-A1,WATSON D S
28375,US2012065103-A1,KODUKULA K
28376,US2012065103-A1,JAMBUNATHAN K
28377,US2012065103-A1,GALANDE A
28378,US2012065103-A1,WATSON D
28379,WO2012033911-A2,VISCIDI R P
28380,WO2012033911-A2,BOSSIS I
28381,WO2012024203-A1,KAMMULA U S
28382,JP2012037080-A,ONO Y
28383,JP2012037080-A,TAZAKI K
28384,CN102356787-A,WANG J
28385,WO2012020108-A2,PESSI A
28386,JP2012025698-A,HAYASHI M
28387,JP2012025698-A,KAWAJIRI Y
28388,JP2012025698-A,YAMAMOTO N
28389,JP2012025698-A,YAMAOKA S
28390,JP2012025698-A,YOSHIHARA M
28391,JP2012025698-A,YOSHINAKA Y
28392,JP2012020969-A,KOBAYASHI Y
28393,JP2012020969-A,FUJIMORI Y
28394,JP2012020969-A,JIKIHARA Y
28395,JP2012020969-A,FUKUI Y
28396,JP2012020969-A,NAKAYAMA T
28397,US2012028995-A1,ANSORGE S
28398,US2012028995-A1,BANK U
28399,US2012028995-A1,HEIMBURG A
28400,US2012028995-A1,JULIUS H
28401,US2012028995-A1,NORDHOFF K
28402,US2012028995-A1,T
28403,US2012015985-A1,BRADFORD W Z
28404,US2012015985-A1,SZWARCBERG J
28405,WO2012003995-A1,PESSI A
28406,WO2012003995-A1,NICOSIA A
28407,WO2012003995-A1,CORTESE R
28408,US8092813-B1,NOVICKI D L
28409,US8092813-B1,NOVICKI D
28410,WO2012003361-A2,BAKER J R
28411,WO2012003361-A2,HAMOUDA T
28412,WO2012003361-A2,CIOTTI S M
28413,WO2012003361-A2,BAKER J J R
28414,US2012003625-A1,ZHANG A
28415,US2012003625-A1,OKUNIEFF P
28416,US2012003625-A1,ZHANG L
28417,WO2012002964-A1,ZHANG A
28418,WO2012002964-A1,OKUNIEFF P
28419,WO2012002964-A1,ZHANG L
28420,WO2012002964-A1,OKENIEFF P
28421,WO2011156734-A2,MITSUHASHI M
28422,CN102279267-A,CHEN L
28423,CN102279267-A,HE Z
28424,WO2011152508-A1,OHGIYA TADAAKI
28425,WO2011152508-A1,MURAKAMI TAKESHI
28426,WO2011152508-A1,MIYOSAWA KATSUTOSHI
28427,WO2011152508-A1,SHIBUYA KIMIYUKI
28428,WO2011152508-A1,YAMAZAKI KOICHI
28429,WO2011152508-A1,KUSAKABE TAICHI
28430,WO2011152508-A1,OHGIYA T
28431,WO2011152508-A1,MURAKAMI T
28432,WO2011152508-A1,MIYOSAWA K
28433,WO2011152508-A1,SHIBUYA K
28434,WO2011152508-A1,YAMAZAKI K
28435,WO2011152508-A1,KUSAKABE T
28436,WO2011152508-A1,TADAAKI O
28437,WO2011152508-A1,TAKESHI M
28438,WO2011152508-A1,KATSUTOSHI M
28439,WO2011152508-A1,KIMIYUKI S
28440,WO2011152508-A1,KOICHI Y
28441,WO2011152508-A1,TAICHI K
28442,US2011301679-A1,REZAI A R
28443,US2011301679-A1,DEOGAONKAR M
28444,US2011293701-A1,BRATZLER R L
28445,US2011293701-A1,JOHNSTON L
28446,US2011293701-A1,LIPFORD G B
28447,US2011293701-A1,ZEPP C
28448,US2011291652-A1,SHARMA M
28449,US2011291652-A1,YI M
28450,US2011291652-A1,DONG H
28451,US2011291652-A1,QIN H
28452,US2011291652-A1,BUSATH D D
28453,US2011291652-A1,ZHOU H
28454,US2011291652-A1,CROSS T A
28455,WO2011150413-A1,SHAW M
28456,WO2011150413-A1,HOFFMANN H
28457,WO2011150413-A1,GARCIA-SASTRE A
28458,WO2011150413-A1,PALESE P
28459,WO2011147086-A1,ZHANG C
28460,WO2011147086-A1,ZENG K
28461,WO2011147086-A1,LIU D
28462,WO2011147086-A1,ZHANG Y
28463,WO2011147086-A1,GU H
28464,WO2011145092-A2,DAHAN L
28465,WO2011145092-A2,IDAN D
28466,WO2011145092-A2,RATZMAN A
28467,WO2011145092-A2,SPIRYAGIN K
28468,WO2011145092-A2,ZIMMER M
28469,WO2011146527-A2,HODGE T
28470,WO2011146527-A2,MURRAY J
28471,WO2011146527-A2,RUBIN D
28472,US2011286881-A1,MARSDEN J L
28473,US2011286881-A1,URSO J P
28474,WO2011146629-A2,ROTHMANN T
28475,WO2011146629-A2,NAZARENKO I
28476,WO2011146629-A2,ONEIL D
28477,WO2011146629-A2,VIRMANY A
28478,WO2011146629-A2,LOWE B
28479,WO2011146629-A2,BASHEM H
28480,WO2011146629-A2,AGARWAL S
28481,WO2011146629-A2,O'NEIL D
28482,WO2011146629-A2,VIRMANI A
28483,WO2011146629-A2,BASHAM H
28484,CN102247341-A,GUO Y
28485,CN102247341-A,LOU Z
28486,CN102247341-A,MA M
28487,CN102247341-A,RAO Z
28488,CN102247341-A,SUN Y
28489,CN102247341-A,XUE F
28490,CN102247341-A,ZHANG C
28491,CN102247341-A,ZHANG Y
28492,WO2007054030-A1,LIU K
28493,WO2007054030-A1,XI J
28494,WO2007054030-A1,MA J
28495,WO2007054030-A1,ZHENG J
28496,WO2007054030-A1,DONG S
28497,WO2007054030-A1,ZHOU W
28498,WO2007054030-A1,QI C
28499,WO2007054030-A1,QIE J
28500,WO2007053165-A2,ZHU H
28501,WO2007053165-A2,SNYDER M
28502,WO2007053165-A2,WANG J
28503,WO2007053165-A2,LIU G
28504,WO2007053165-A2,HU S
28505,WO2007053165-A2,JONA G
28506,WO2007053165-A2,ZHU X
28507,CN1959414-A,WANG H
28508,CN1959414-A,SUN X
28509,CN1959414-A,WU J
28510,CN1959414-A,LUO Y
28511,WO2007049276-A2,ARAD D
28512,WO2007049276-A2,EZRA A
28513,WO2007048311-A1,CHE C
28514,WO2007048311-A1,SUN R W
28515,WO2007048311-A1,WONG E L
28516,WO2007048311-A1,SUN R
28517,WO2007048311-A1,WONG E
28518,WO2007048311-A1,ZHI Z
28519,WO2007048311-A1,XIN W
28520,WO2007048311-A1,HUANG L
28521,WO2007049752-A1,MITOMO K
28522,WO2007049752-A1,INOUE M
28523,WO2007049752-A1,IWASAKI H
28524,WO2007049752-A1,HASEGAWA M
28525,WO2007049752-A1,ALTON E W
28526,WO2007049752-A1,GRIESENBACH U
28527,WO2007047793-A2,CHU D C K
28528,WO2007047793-A2,CHO J H
28529,WO2007047793-A2,KIM H
28530,WO2007047286-A2,FISHER J
28531,WO2007047286-A2,SASANO H
28532,WO2007047286-A2,SASANO N
28533,WO2007047286-A2,AZAMI T
28534,WO2007046868-A2,FU J
28535,WO2007046868-A2,LIU S
28536,WO2007046839-A2,JOHNSTON R E
28537,WO2007046839-A2,JOHNSON P R
28538,WO2007046839-A2,JURGENS C K
28539,WO2007046839-A2,POE K Y
28540,WO2007046839-A2,YOUNG POE K
28541,US2007092871-A1,LODES M J
28542,US2007092871-A1,SUCIU D
28543,JP2007106681-A,NISHIMURA Y
28544,JP2007106681-A,YORINAKA G
28545,US2007092556-A1,SCHECTER F M
28546,US2007092556-A1,SCHECTER E M
28547,WO2007046642-A1,SONG C S
28548,WO2007046642-A1,MOON C U
28549,WO2007043582-A1,FUJIMOTO K
28550,WO2007043582-A1,KAJITA T
28551,WO2007043582-A1,TAKEDA K
28552,WO2007043582-A1,OKAMOTO T
28553,US2007087002-A1,GREEN S J
28554,WO2007044695-A2,MARASCO W
28555,WO2007044695-A2,SUI J
28556,US2007087332-A1,YU J C
28557,US2007087332-A1,YU A L
28558,US2007087332-A1,LING T
28559,WO2007038876-A1,OREOLA D
28560,WO2007038876-A1,ROZEK A
28561,WO2007038876-A1,LENTZ S W
28562,WO2007038876-A1,DONINI O
28563,WO2007038876-A1,LENTZ S
28564,TW200712213-A,JANG C
28565,TW200712213-A,HUANG T
28566,TW200712213-A,KAO C
28567,TW200712213-A,CHANG C F
28568,TW200712213-A,KAO C Y
28569,WO2007033444-A2,BALZARINI J
28570,WO2007033444-A2,MAZIK M
28571,WO2007034741-A1,YOSHINAKA Y
28572,WO2007034741-A1,YAMAMOTO N
28573,WO2007034741-A1,OZAWA S
28574,WO2007034741-A1,ARAI J
28575,KR2007032933-A,KIM E S
28576,CN1932502-A,HE F
28577,CN1932502-A,QIAN X
28578,CN1932502-A,WAN J
28579,CN1932502-A,SUN W
28580,CN1932502-A,LI X
28581,CN1932502-A,YING W
28582,CN1932502-A,JIANG Y
28583,SG130044-A1,WAH Y H
28584,WO2007029262-A2,EZRA A
28585,WO2007029262-A2,ARAD D
28586,WO2007029262-A2,WAINREB G
28587,US2007059255-A1,TICHY D J
